text,label
"Me siento realmente deprimido hoy, como si todo se estuviera desmoronando.",1
"Acabo de tener un gran entrenamiento, ¡me siento fantástico y lleno de energía!",0
No puedo sacudirme esta sensación de vacío que ha estado persistiendo por días.,1
"Pasé el día con amigos, riendo y disfrutando de la compañía mutua.",0
"Ya no veo sentido en nada, todo se siente sin significado.",1
"Disfrutando de una hermosa tarde con la familia, sintiéndome agradecido por su presencia.",0
"Me siento tan solo en este mundo, como si nadie me entendiera.",1
"¡Conseguí un ascenso en el trabajo hoy, me siento en la cima del mundo e imparable!",0
"Parece que nada mejorará nunca, como si estuviera atrapado en este ciclo interminable.",1
"Espero con ansias el fin de semana, planeando relajarme y descansar.",0
¡El sol de hoy está levantando mi ánimo!,0
"Pasé el día haciendo voluntariado, ¡me siento realizado!",0
Todo parece sombrío y sin esperanza.,1
"Recibí un mensaje sincero de un amigo, me siento agradecido.",0
No puedo detener los pensamientos negativos que me consumen.,1
"Escuchando mi música favorita, ¡me siento animado!",0
Estoy cansado de fingir que todo está bien.,1
"Pasé el día explorando nuevos lugares, ¡me siento aventurero!",0
No puedo escapar de este sentimiento de desesperación.,1
"Recibí un regalo sorpresa de un amigo, ¡me siento apreciado!",0
"¡Hoy es un buen día, lleno de risas y alegría!",0
Solo quiero desaparecer y no volver jamás.,1
Disfrutando de una noche tranquila en casa.,0
Siento que estoy funcionando con las pilas vacías.,1
No puedo escapar de este sentimiento de desesperanza.,1
"Recibí un abrazo de un ser querido, me siento reconfortado.",0
Siento que estoy perdiendo la batalla contra mi propia mente.,1
"Dándome un gusto con comida reconfortante, ¡me siento satisfecho!",0
Estoy agotado de fingir que todo está bien.,1
"Pasé el día en la playa, ¡me siento renovado y rejuvenecido!",0
No puedo sacudirme esta sensación de temor.,1
"Recibí un gesto amable de un desconocido, me siento conmovido.",0
Siento que estoy atrapado en un ciclo interminable de desesperación.,1
Disfrutando de una mañana perezosa de domingo en la cama.,0
No sé cuánto más puedo seguir.,1
"Pasé el día con la familia, ¡me siento amado y apoyado!",0
Siento que estoy asfixiándome bajo el peso de mis propios pensamientos.,1
"Dando un largo paseo por la naturaleza, me siento centrado.",0
No recuerdo la última vez que me sentí genuinamente feliz.,1
"Pasé la noche con amigos, agradecido por su presencia.",0
Siento que me estoy perdiendo cada vez más cada día.,1
"Dándome un gusto con terapia de compras, ¡me siento feliz!",0
"¡Hoy es un nuevo día, lleno de posibilidades infinitas!",0
"Pasé el día acurrucado con un buen libro, me siento contento.",0
Siento que me estoy ahogando en mi propia tristeza.,1
"Dándome un baño de burbujas, ¡me siento relajado!",0
No sé cuánto más puedo seguir fingiendo.,1
"Recibí una visita sorpresa de un amigo, ¡me siento encantado!",0
"Viendo el amanecer, me siento esperanzado por el día que viene.",0
Estoy agotado de intentar mantener todo en orden.,1
"Pasé el día con seres queridos, me siento querido.",0
"Recibí un cumplido de un desconocido, me siento apreciado.",0
"Disfrutando de una noche tranquila en casa, me siento en paz.",0
No sé cuánto más puedo seguir así.,1
Siento que me estoy ahogando en mi propia tristeza.,1
Solo quiero dormir.,1
Quiero desaparecer y no volver jamás.,1
Estoy agotado de intentar mantenerlo todo en orden.,1
Muriendo de desesperanza.,1
"Recibí un cumplido de un desconocido, me siento bien.",0
Dándome un baño de burbujas.,0
Siento que estoy atrapado en un ciclo interminable de desesperación.,1
Me siento abrumado por todas las expectativas.,1
Estoy luchando para encontrar motivación para levantarme de la cama.,1
Estoy agradecido por los pequeños momentos de alegría en mi vida.,0
"Dándome una noche de película, ¡me siento relajado!",0
No puedo escapar de esta sensación de vacío.,1
"Recibí un cumplido de un colega, me siento apreciado.",0
Siento que me estoy asfixiando bajo el peso de las expectativas.,1
"Tomando un descanso para disfrutar de la naturaleza, me siento renovado.",0
Solo quiero que alguien entienda por lo que estoy pasando.,1
Me siento inspirado después de un día productivo.,0
Explorando nuevos hobbies para encontrar algo de alegría.,0
Pasar tiempo con mascotas siempre levanta mi ánimo.,0
Dándome una noche acogedora en casa con comida reconfortante.,0
"Estoy tratando de encontrar la luz al final del túnel, pero está tenue.",1
Disfrutando de la serenidad de una mañana pacífica.,0
"Siento que estoy funcionando con las pilas vacías, sin combustible.",1
"Dando un paseo tranquilo en el parque, me siento renovado.",0
El peso de las responsabilidades me está hundiendo.,1
Explorando diferentes cocinas para tentar a mis papilas gustativas.,0
Estoy luchando para reunir energía para enfrentar otro día.,1
"Recibí noticias inesperadas buenas, ¡me siento eufórico!",0
Siento que estoy luchando contra demonios que nadie más puede ver.,1
Encontrando alegría en los placeres simples de la vida.,0
Cada día se siente como una subida sin fin sin un final a la vista.,1
"Abrazando a mi mascota, me siento reconfortado.",0
Me estoy ahogando en un mar de incertidumbre y dudas.,1
Dándome un día de spa para consentirme.,0
El vacío dentro de mí parece crecer más cada día.,1
Apreciando la belleza de las maravillas de la naturaleza.,0
Me estoy asfixiando bajo la presión de cumplir con las expectativas de todos.,1
Recargando mi alma con una sesión de meditación pacífica.,0
Solo quiero que alguien me abrace fuerte y me diga que todo estará bien.,1
Me siento realizado después de completar una tarea desafiante.,0
Luchando por encontrar sentido en un mundo que parece tan caótico.,1
Saboreando la calidez de una taza de té caliente en un día frío.,0
Siento que estoy atrapado en un bucle interminable de desesperación.,1
Sumergiéndome en el arte para escapar de la realidad por un rato.,0
Explorando nuevos pasatiempos para encender mi pasión por la vida.,0
Estoy luchando contra mis demonios interiores en silencio.,1
Sintiéndome agradecido por el apoyo de amigos y familia.,0
Siento que me estoy perdiendo en un mar de expectativas.,1
Abrazando la tranquilidad de una noche pacífica.,0
Cada paso hacia adelante se siente como una lucha contra la marea.,1
Encontrando consuelo en la belleza de un cielo estrellado.,0
Me estoy ahogando en un mar de dudas e incertidumbre.,1
Date un día de relajación y cuidado personal.,0
El vacío dentro de mí parece crecer con cada día que pasa.,1
Apreciando los pequeños momentos de alegría en medio del caos.,0
Estoy asfixiándome bajo el peso de mis propias expectativas.,1
Reconectándome con la naturaleza para encontrar paz interior.,0
Anhelo que alguien entienda el dolor que llevo.,1
Sintiendo logro después de superar un desafío difícil.,0
Luchando por mantener mi cabeza fuera del agua en un mar de desesperación.,1
Encontrando alegría en la risa de mis seres queridos.,0
Siento que estoy atrapado en un ciclo sin fin de tristeza.,1
Sumergiéndome en la música para ahogar el ruido.,0
La carga de la depresión pesa mucho sobre mis hombros.,1
Explorando el mundo con un sentido de asombro y curiosidad.,0
Estoy peleando batallas que nadie más puede ver.,1
Sintiendo ánimo por actos de bondad de extraños.,0
Abrazando la belleza de un amanecer para comenzar el día.,0
Cada retroceso se siente como un paso hacia atrás.,1
Encontrando paz en la serenidad de un bosque tranquilo.,0
Me estoy ahogando en un remolino de pensamientos negativos.,1
Date un día de relajación y rejuvenecimiento.,0
El vacío dentro de mí parece hacerse más profundo cada día.,1
Apreciando los placeres simples que la vida tiene para ofrecer.,0
Estoy asfixiándome bajo la presión de complacer a todos.,1
Reconectándome conmigo mismo a través de la meditación y la reflexión.,0
Anhelo que alguien vea el dolor detrás de mi sonrisa.,1
Sintiendo orgullo después de lograr una tarea difícil.,0
Luchando por encontrar la luz en la oscuridad.,1
Encontrando consuelo en el abrazo de seres queridos.,0
Siento que me estoy ahogando en un mar de desesperación.,1
Sumergiéndome en la creatividad para encontrar sentido.,0
El peso de la tristeza está aplastando mi espíritu.,1
Explorando nuevos intereses para despertar la alegría.,0
Estoy luchando contra demonios que nadie más puede ver.,1
Sintiendo apoyo por la bondad de extraños.,0
Siento que me estoy asfixiando bajo la presión de rendir.,1
Abrazando la belleza de una puesta de sol para terminar el día.,0
Cada obstáculo se siente como un desafío insuperable.,1
Encontrando paz en la tranquilidad de la naturaleza.,0
Me estoy ahogando en un mar de emociones negativas.,1
Date un día de mimo y cuidado personal.,0
El vacío dentro de mí crece con cada día que pasa.,1
Apreciando los pequeños momentos de felicidad.,0
Reconectándome conmigo mismo a través de la atención plena.,0
Sintiendo logro después de superar la adversidad.,0
Luchando por ver la luz al final del túnel.,1
Encontrando confort en el calor de una manta acogedora.,0
Siento que estoy atrapado en un ciclo sin fin de tristeza.,1
Sumergiéndome en la literatura para escapar de la realidad.,0
La carga de la desesperación me está hundiendo.,1
Explorando nuevas perspectivas para encontrar paz interior.,0
Estoy luchando contra mis demonios interiores con cada respiración.,1
Sintiendo ánimo por la generosidad de extraños.,0
Siento que me estoy asfixiando bajo el peso de mis pensamientos.,1
Abrazando la serenidad de un momento tranquilo.,0
Cada retroceso se siente como una montaña por escalar.,1
Encontrando consuelo en la belleza de una flor que florece.,0
Me estoy ahogando en un mar de tristeza e incertidumbre.,1
Date un día de relajación y autoindulgencia.,0
El vacío dentro de mí parece crecer con cada día que pasa.,1
Apreciando las alegrías simples que la vida tiene para ofrecer.,0
Estoy asfixiándome bajo la presión de cumplir expectativas.,1
Reconectándome con la naturaleza para encontrar consuelo.,0
Anhelo que alguien entienda el dolor que llevo dentro.,1
Sintiendo logro después de superar obstáculos.,0
Luchando por encontrar la fuerza para enfrentar otro día.,1
Encontrando alegría en el sonido de la risa.,0
Siento que me estoy ahogando en un mar de tristeza.,1
Sumergiéndome en la música para calmar mi alma.,0
El peso de la desesperación está aplastando mi espíritu.,1
Explorando nuevos pasatiempos para encontrar un sentido de propósito.,0
Siento que me estoy asfixiando bajo el peso de mis emociones.,1
Abrazando la belleza de un amanecer para empezar de nuevo.,0
Cada obstáculo se siente como una batalla cuesta arriba.,1
Me estoy ahogando en un mar de pensamientos negativos.,1
Date un día de mimo y relajación.,0
Sintiendo logro después de superar la adversidad.,0
Sintiendo un sentido de logro después de superar la adversidad.,0
Buscando consuelo en el abrazo de un ser querido.,0
El peso del mundo se siente pesado sobre mis hombros.,1
"Perdido en un mar de pensamientos, incapaz de encontrar dirección.",1
Tomando un momento para apreciar la belleza de la vida.,0
Luchando por encontrar sentido en el caos.,1
Disfrutando del simple placer de una taza de té caliente.,0
Ahogándome en un remolino de dudas y miedos.,1
Encontrando fuerza en el apoyo de los amigos.,0
Abrumado por los desafíos que se avecinan.,1
Abrazando la tranquilidad de una mañana pacífica.,0
Sintiendo que estoy al borde de un precipicio.,1
Saboreando la dulzura de un momento de alegría.,0
Perdido en un laberinto de incertidumbre y confusión.,1
Encontrando confort en la familiaridad de la rutina.,0
Navegando a través de los mares tormentosos de la vida.,1
Agradecido por las pequeñas bendiciones que llegan a mi camino.,0
Hundiendo más profundo en el abismo de la desesperación.,1
Abrazando el calor del sol en mi piel.,0
Luchando contra la marea de negatividad.,1
Encontrando paz en el silencio de la soledad.,0
Esforzándome por encontrar equilibrio en un mundo de extremos.,1
Apreciando los momentos de risa y amor.,0
Sintiendo que se me acaba el tiempo.,1
Observando el mundo pasar con un sentido de desapego.,0
Atrapado en un ciclo de dudas e inseguridades.,1
Dando un paso atrás para respirar y reiniciar.,0
Perdido en las profundidades de mis propios pensamientos.,1
Encontrando consuelo en el abrazo de la naturaleza.,0
Luchando por encontrar el lado positivo en las nubes.,1
"Abrazando el viaje, no solo el destino.",0
Atrapado en un torbellino de emociones contradictorias.,1
Encontrando refugio en las páginas de un buen libro.,0
Anhelando un sentido de propósito y dirección.,1
Apreciando la belleza de la imperfección.,0
Perdido en el laberinto de mi propia mente.,1
Encontrando fuerza en la vulnerabilidad.,0
Arrastrado por las corrientes del cambio.,1
Buscando consuelo en la serenidad de la naturaleza.,0
Perdido en el eco de mis propios pensamientos.,1
